.96 9506448
-0.61 10.92 6001344
-0.59 10.87 6007352
-0.58 10.79 6013356
-0.56 10.71 6019356
-0.55 10.62 6025360
-0.53 10.55 6031360
-0.52 10.47 6037360
-0.51 10.40 6043360
-0.49 10.32 6049372
-0.46 10.24 6055368
-0.44 10.16 6061364
-0.42 10.08 6067368
-0.41 9.99 6073384
-0.39 9.91 6079376
-0.38 9.85 6084380
-0.36 9.79 6089396
-0.35 9.74 6094404
-0.33 9.68 6100380
-0.31 9.63 6105396
-0.30 9.59 6110408
-0.28 9.55 6115408
-0.26 9.50 6120416
-0.24 9.44 6126408
-0.22 9.38 6131420
-0.21 9.33 6136428
-0.19 9.26 6141420
-0.18 9.17 6147400
-0.16 9.10 6152404
-0.15 9.04 6157412
-0.13 8.98 6162420
-0.10 8.92 6168404
-0.09 8.89 6173408
-0.07 8.88 6178416
-0.05 8.88 6183420
-0.03 8.88 6188428
-0.01 8.88 6193436
0.01 8.88 6198424
0.03 8.88 6203424
0.05 8.88 6208416
0.07 8.88 6213428
0.09 8.88 6218420
0.11 8.88 6223428
0.13 8.88 6228420
0.16 8.88 6233424
0.18 8.88 6238420
0.20 8.88 6243428
0.23 8.89 6248432
0.25 8.90 6253432
0.27 8.92 6258432
0.30 8.95 6263440
0.32 8.99 6268440
0.35 9.03 6273444
0.37 9.09 6278452
0.39 9.14 6283452
0.41 9.21 6288456
0.43 9.27 6293468
0.46 9.34 6298476
0.48 9.40 6303476
0.50 9.48 6308476
0.52 9.55 6313476
0.54 9.62 6318476
0.56 9.70 6323484
0.59 9.79 6328488
0.60 9.88 6333496
0.63 9.98 6338488
0.64 10.08 6343500
0.66 10.20 6349488
0.68 10.30 6354512
0.70 10.41 6360488
0.72 10.49 6365508
0.74 10.57 6371484
0.76 10.62 6377496
0.78 10.67 6383488
0.79 10.70 6389496
0.80 10.72 6395500
0.81 10.72 6401496
0.81 10.72 6406524
0.81 10.73 6412512
0.81 10.74 6418512
0.81 10.75 6424508
0.80 10.76 6430516
0.79 10.78 6436504
0.79 10.80 6442512
0.78 10.83 6448512
0.77 10.86 6454516
0.76 10.90 6460520
0.75 10.92 6466516
0.73 10.95 6472516
0.72 10.96 6478520
0.70 10.97 6483544
0.69 10.97 6489520
0.67 10.97 6495524
0.66 10.97 6500536
0.64 10.97 6506536
0.62 10.97 6511536
0.60 10.97 6517540
0.58 10.97 6522544
0.56 10.97 6528536
0.54 10.96 6534544
0.52 10.95 6540544
0.50 10.93 6546548
0.48 10.89 6552544
0.46 10.83 6558548
0.44 10.76 6564552
0.41 10.68 6570556
0.39 10.58 6576560
0.37 10.48 6582552
0.35 10.37 6588564
0.33 10.27 6594580
0.31 10.18 6600572
0.29 10.09 6606576
0.27 10.01 6612580
0.25 9.93 6618576
0.24 9.88 6623580
0.23 9.83 6628580
0.21 9.78 6633584
0.19 9.73 6638596
0.18 9.68 6643588
0.17 9.63 6648592
0.15 9.59 6653592
0.14 9.55 6658592
0.13 9.50 6663596
0.11 9.45 6668600
0.10 9.39 6673608
0.09 9.34 6678604
0.08 9.28 6683604
0.07 9.21 6688608
0.06 9.14 6693616
0.04 9.08 6698624
0.03 9.02 6703628
0.02 8.97 6708624
0.01 8.93 6713624
0.00 8.91 6718624
-0.01 8.91 6723644
-0.02 8.91 6728656
-0.03 8.91 6733648
-0.04 8.91 6738644
-0.05 8.91 6743652
-0.06 8.91 6748648
-0.07 8.91 6753652
-0.08 8.91 6758644
-0.09 8.91 6763648
-0.10 8.91 6768652
-0.11 8.91 6773648
-0.12 8.91 6778644
-0.13 8.91 6783656
-0.14 8.91 6788656
-0.15 8.91 6793664
-0.16 8.92 6798676
-0.17 8.93 6804656
-0.19 8.95 6809676
-0.20 8.97 6815656
-0.21 9.00 6820668
-0.23 9.02 6825676
-0.24 9.05 6830688
-0.25 9.09 6835688
-0.27 9.15 6840692
-0.28 9.22 6846676
-0.30 9.30 6851680
-0.31 9.38 6856688
-0.33 9.47 6861696
-0.34 9.56 6866700
-0.36 9.66 6871712
-0.37 9.76 6876716
-0.39 9.86 6881720
-0.41 9.95 6886724
-0.43 10.05 6891720
-0.45 10.15 6897720
-0.47 10.25 6903708
-0.49 10.34 6909712
-0.52 10.42 6915712
-0.54 10.47 6921716
-0.56 10.51 6927720
-0.58 10.54 6933720
-0.61 10.57 6939720
-0.62 10.60 6945724
-0.64 10.64 6951728
-0.66 10.69 6957724
-0.68 10.76 6963736
-0.70 10.84 6969732
-0.72 10.91 6975740
-0.74 10.98 6981732
-0.76 11.04 6987736
-0.78 11.08 6993740
-0.79 11.08 6999736
-0.81 11.08 7005740
-0.81 11.09 7011740
-0.82 11.09 7017740
-0.82 11.09 7023744
-0.81 11.10 7028756
-0.81 11.09 7034748
-0.81 11.09 7040756
-0.81 11.09 7045760
-0.81 11.09 7051760
-0.81 11.09 7057760
-0.81 11.08 7063760
-0.80 11.07 7069760
-0.79 11.07 7075764
-0.78 11.07 7081760
-0.77 11.06 7087764
-0.75 11.03 7093764
-0.74 10.99 7099772
-0.72 10.94 7105768
-0.71 10.89 7111764
-0.69 10.82 7117772
-0.67 10.76 7123772
-0.64 10.69 7129776
-0.62 10.62 7135784
-0.59 10.53 7141788
-0.57 10.44 7147784
-0.55 10.34 7153788
-0.53 10.24 7159788
-0.50 10.15 7165796
-0.47 10.06 7171800
-0.44 9.97 7177808
-0.42 9.91 7182820
-0.39 9.85 7187820
-0.37 9.79 7192832
-0.34 9.72 7198812
-0.31 9.66 7203824
-0.28 9.60 7209816
-0.26 9.56 7214820
-0.23 9.52 7219828
-0.21 9.47 7224836
-0.17 9.42 7230816
-0.15 9.38 7235828
-0.12 9.33 7240836
-0.08 9.27 7246824
-0.06 9.21 7251824
-0.03 9.15 7256832
-0.00 9.09 7261840
0.03 9.04 7266820
0.06 8.98 7271820
0.08 8.94 7276820
0.11 8.91 7281824
0.14 8.90 7286836
0.17 8.89 7291828
0.20 8.90 7296836
0.22 8.90 7301828
0.25 8.89 7306824
0.27 8.89 7311832
0.30 8.89 7316816
0.32 8.89 7321820
0.35 8.89 7326816
0.37 8.89 7331820
0.39 8.89 7336820
0.42 8.89 7341816
0.44 8.89 7346824
0.46 8.90 7351832
0.48 8.91 7356836
0.50 8.93 7361836
0.52 8.95 7366840
0.54 8.98 7371844
0.56 9.02 7376840
0.58 9.06 7381848
0.60 9.10 7386844
0.62 9.15 7391844
0.63 9.20 7396844
0.63 9.26 7401848
0.64 9.32 7406852
0.65 9.38 7411852
0.65 9.45 7416860
0.65 9.54 7421852
0.65 9.62 7426852
0.65 9.72 7431860
0.65 9.82 7436868
0.65 9.93 7441876
0.65 10.04 7446884
0.65 10.19 7452876
0.64 10.33 7458884
0.64 10.45 7463904
0.63 10.57 7469892
0.63 10.67 7475892
0.62 10.75 7481892
0.61 10.78 7487900
0.61 10.79 7493904
0.60 10.79 7499912
0.59 10.79 7504936
0.59 10.79 7510908
0.58 10.80 7516924
0.57 10.81 7522920
0.57 10.82 7528932
0.56 10.85 7534944
0.56 10.87 7540936
0.55 10.91 7546936
0.55 10.94 7552936
0.54 10.98 7558936
0.54 11.01 7564936
0.53 11.02 7570940
0.53 11.02 7576952
0.53 11.02 7582944
0.52 11.02 7587956
0.52 11.02 7592968
0.52 11.02 7597960
0.51 11.02 7602972
0.51 11.02 7607980
0.51 11.02 7613960
0.51 11.02 7619964
0.50 11.02 7624968
0.50 11.01 7630972
0.50 11.00 7636980
0.50 10.98 7642988
0.50 10.95 7648992
0.50 10.91 7655000
0.50 10.85 7660000
0.49 10.78 7666004
0.49 10.69 7671996
0.49 10.59 7678004
0.48 10.48 7683996
0.48 10.38 7690000
0.48 10.28 7695996
0.47 10.19 7702004
0.47 10.11 7708016
0.46 10.05 7714012
0.45 9.98 7720016
0.45 9.93 7725020
0.44 9.89 7730028
0.43 9.85 7735024
0.42 9.81 7740028
0.41 9.76 7745032
0.40 9.71 7750032
0.39 9.66 7755028
0.37 9.60 7760036
0.36 9.54 7765044
0.34 9.47 7770044
0.33 9.40 7775044
0.31 9.33 7780044
0.29 9.26 7785048
0.27 9.18 7790040
0.25 9.10 7795056
0.23 9.04 7800052
0.21 8.98 7805052
0.19 8.93 7810056
0.17 8.90 7815052
0.14 8.88 7820052
0.12 8.88 7825056
