838219856
0.04 9.192820
0.54 13.81 11104160
0.53 13.78 11109176
0.53 13.75 11114384
0.53 13.72 11119476
0.52 13.68 11124732
0.53 13.63 11130112
0.52 13.59 11135080
0.52 13.54 11140332
0.52 13.49 11145380
0.53 13.43 11150540
0.53 13.38 11155540
0.53 13.32 11160796
0.53 13.26 11166152
0.53 13.20 11171144
0.53 13.14 11176392
0.53 13.07 11181436
0.53 13.01 11186600
0.53 12.95 11191596
0.53 12.88 11196872
0.53 12.82 11202228
0.53 12.75 11207248
0.53 12.69 11212496
0.53 12.63 11217544
0.53 12.57 11222824
0.53 12.51 11228152
0.53 12.45 11233080
0.53 12.40 11238388
0.53 12.34 11243404
0.52 12.29 11248604
0.52 12.24 11253724
0.52 12.19 11258968
0.52 12.14 11264340
0.52 12.09 11269320
0.51 12.05 11274572
0.51 12.00 11279596
0.51 11.96 11284872
0.50 11.92 11290244
0.50 11.87 11295176
0.49 11.83 11300492
0.49 11.79 11305596
0.48 11.75 11310908
0.47 11.72 11316280
0.46 11.68 11321192
0.45 11.64 11326508
0.44 11.60 11331504
0.43 11.57 11336716
0.42 11.53 11341824
0.41 11.50 11347060
0.40 11.46 11352428
0.38 11.43 11357440
0.37 11.39 11362764
0.36 11.35 11367880
0.34 11.32 11373128
0.32 11.29 11378492
0.31 11.25 11383484
0.29 11.22 11388736
0.27 11.18 11393860
0.26 11.15 11399076
0.24 11.11 11404412
0.22 11.08 11409328
0.20 11.04 11414644
0.18 11.01 11419660
0.17 10.98 11424856
0.15 10.94 11429972
0.13 10.91 11435160
0.11 10.87 11440472
0.09 10.84 11445408
0.07 10.81 11450704
0.05 10.78 11455720
0.03 10.75 11460924
0.02 10.72 11466012
-0.00 10.70 11471256
-0.02 10.68 11476644
-0.04 10.67 11481724
-0.06 10.66 11487060
-0.07 10.65 11492148
-0.09 10.65 11497384
-0.11 10.65 11502588
-0.12 10.66 11507636
-0.14 10.67 11512888
-0.15 10.69 11518016
-0.17 10.71 11523224
-0.19 10.72 11528540
-0.20 10.74 11533472
-0.22 10.77 11538772
-0.23 10.80 11543872
-0.25 10.83 11549168
-0.26 10.86 11554192
-0.28 10.89 11559496
-0.29 10.93 11564796
-0.31 10.96 11569812
-0.33 11.00 11575016
-0.34 11.04 11580124
-0.36 11.08 11585372
-0.38 11.11 11590736
-0.40 11.15 11595732
-0.42 11.19 11600988
-0.44 11.23 11606148
-0.45 11.26 11611424
-0.47 11.30 11616788
-0.47 11.34 11621880
-0.48 11.37 11627204
-0.49 11.41 11632284
-0.50 11.45 11637548
-0.51 11.49 11642904
-0.53 11.53 11647908
-0.54 11.56 11653208
-0.55 11.60 11658208
-0.57 11.64 11663476
-0.58 11.68 11668848
-0.59 11.73 11673952
-0.60 11.76 11679256
-0.60 11.81 11684256
-0.61 11.85 11689508
-0.62 11.89 11694868
-0.63 11.94 11699864
-0.64 11.98 11705116
-0.64 12.03 11710264
-0.65 12.08 11715460
-0.65 12.13 11720812
-0.66 12.18 11725720
-0.66 12.23 11731036
-0.67 12.28 11736048
-0.67 12.34 11741256
-0.67 12.40 11746368
-0.67 12.46 11751616
-0.68 12.51 11756980
-0.68 6.29 11761936
-0.68 12.64 11767212
-0.68 12.70 11772244
-0.68 12.76 11777412
-0.68 12.83 11782496
-0.68 12.90 11787744
-0.68 12.96 11793016
-0.68 13.03 11798004
-0.68 13.09 11803256
-0.68 13.16 11808288
-0.68 13.22 11813544
-0.68 13.29 11818896
-0.68 13.35 11823836
-0.68 13.40 11829136
-0.68 13.46 11834148
-0.68 13.52 11839368
-0.68 13.57 11844456
-0.68 13.62 11849816
-0.68 13.67 11855160
-0.68 13.72 11860168
-0.68 13.75 11865376
-0.68 13.79 11870464
-0.68 13.81 11875716
-0.68 13.83 11881064
-0.68 13.85 11886056
-0.68 13.85 11891312
-0.68 13.85 11896344
-0.68 13.85 11901508
-0.68 13.85 11906520
-0.68 13.84 11911752
-0.67 13.82 11917104
-0.67 13.80 11922120
-0.67 13.77 11927372
-0.67 13.73 11932536
-0.67 13.70 11937812
-0.67 13.66 11943212
-0.67 13.61 11948296
-0.66 13.56 11953504
-0.66 13.51 11958604
-0.66 13.46 11963936
-0.65 13.41 11969288
-0.65 13.35 11974400
-0.64 13.29 11979716
-0.64 13.23 11985068
-0.63 13.16 11990000
-0.63 13.10 11995304
-0.62 13.04 12000404
-0.61 12.97 12005712
-0.60 12.91 12011064
-0.59 12.85 12015996
-0.58 12.78 12021304
-0.57 12.72 12026412
-0.56 12.66 12031720
-0.55 12.60 12037064
-0.54 12.54 12041996
-0.53 12.48 12047292
-0.52 12.43 12052308
-0.50 12.37 12057516
-0.49 12.32 12062624
-0.48 12.27 12067992
-0.46 12.22 12073352
-0.45 12.17 12078460
-0.43 12.12 12083768
-0.42 12.07 12089112
-0.40 12.02 12094040
-0.39 11.98 12099328
-0.37 11.94 12104368
-0.36 11.89 12109576
-0.35 11.85 12114668
-0.33 11.81 12120012
-0.31 11.77 12125280
-0.29 11.73 12130264
-0.28 11.69 12135516
-0.26 11.65 12140644
-0.25 11.62 12145856
-0.23 11.58 12151172
-0.21 11.54 12156112
-0.19 11.51 12161416
-0.18 11.47 12166520
-0.16 11.43 12171808
-0.14 11.40 12176804
-0.13 11.36 12182056
