.54 56934476
-0.03 AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
AS5600Initialized... AS5600_LIB_VERSION: 0.5.0
Connect: 1
-0.66 4.35 7511964
-0.68 4.30 7517028
-0.71 4.35 7521992
-0.73 4.55 7527060
-0.75 4.86 7532104
-0.76 5.19 7537264
-0.77 5.56 7542248
-0.78 5.90 7547388
-0.79 6.22 7552360
-0.79 6.54 7557524
-0.79 6.82 7562732
-0.79 7.10 7567612
-0.78 7.35 7572872
-0.78 7.57 7577792
-0.78 7.75 7582992
-0.78 7.88 7587980
-0.77 7.95 7593112
-0.77 8.00 7598052
-0.76 8.01 7603124
-0.75 8.02 7608156
-0.74 8.07 7613232
-0.73 8.14 7618284
-0.72 8.26 7623428
-0.71 8.44 7628436
-0.70 8.69 7633584
-0.69 8.95 7638804
-0.68 9.21 7643680
-0.67 9.46 7648936
-0.66 9.75 7653924
-0.64 10.06 7659180
-0.63 10.46 7664184
-0.61 10.89 7669440
-0.60 11.32 7674428
-0.59 11.63 7679584
-0.58 11.78 7684544
-0.56 11.80 7689780
-0.55 11.74 7695056
-0.54 11.62 7700044
-0.53 11.48 7705276
-0.52 11.38 7710344
-0.51 11.34 7715604
-0.50 11.39 7720608
-0.49 11.57 7725848
-0.49 11.79 7731096
-0.48 12.05 7736088
-0.47 12.32 7741324
-0.45 6.34 7746344
-0.44 12.92 7751468
-0.43 13.32 7756556
-0.42 13.78 7761728
-0.41 14.22 7767036
-0.40 14.56 7771968
-0.40 14.69 7777272
-0.39 14.68 7782292
-0.38 14.50 7787496
-0.37 14.22 7792572
-0.37 13.92 7797752
-0.36 13.69 7802732
-0.35 13.56 7807992
-0.35 13.58 7813248
-0.35 13.74 7818232
-0.35 14.00 7823452
-0.35 14.38 7828508
-0.35 14.80 7833760
-0.35 15.16 7838760
-0.35 15.49 7843920
-0.35 15.75 7849140
-0.34 15.98 7854072
-0.34 16.14 7859376
-0.34 16.25 7864392
-0.34 16.26 7869500
-0.34 16.21 7874540
-0.33 16.13 7879704
-0.33 16.03 7884688
-0.33 15.94 7889856
-0.33 15.88 7895180
-0.33 15.85 7900096
-0.33 15.86 7905412
-0.32 15.91 7910424
-0.32 15.99 7915536
-0.32 16.13 7920572
-0.31 16.29 7925724
-0.31 16.47 7930712
-0.30 16.69 7935884
-0.30 16.89 7941196
-0.29 17.06 7946120
-0.29 17.16 7951424
-0.28 17.19 7956448
-0.27 17.18 7961652
-0.26 17.11 7966744
-0.26 17.04 7971896
-0.25 17.00 7976844
-0.24 16.98 7982116
-0.23 16.98 7987364
-0.22 16.99 7992348
-0.21 16.99 7997580
-0.19 17.01 8002644
-0.18 17.03 8007812
-0.17 17.07 8012808
-0.16 17.10 8017960
-0.15 17.12 8022928
-0.13 17.12 8028188
-0.12 17.12 8033436
-0.11 17.12 8038420
-0.09 17.12 8043576
-0.08 17.12 8048552
-0.06 17.12 8053660
-0.04 17.12 8058692
-0.03 17.12 8063764
-0.01 17.12 8068840
0.00 17.12 8073968
0.02 17.12 8078916
0.04 17.12 8084032
0.06 17.12 8088980
0.07 17.12 8094248
0.09 17.12 8099480
0.11 17.11 8104484
0.12 17.10 8109704
0.14 17.10 8114772
0.15 17.09 8120012
0.16 17.08 8125008
0.18 17.06 8130180
0.19 17.03 8135408
0.20 17.00 8140328
0.21 16.96 8145560
0.22 16.90 8150532
0.23 16.85 8155760
0.25 16.79 8160820
0.26 16.74 8165992
0.27 16.67 8170988
0.28 16.59 8176144
0.29 16.52 8181096
0.30 16.45 8186336
0.31 16.39 8191592
0.32 16.34 8196584
0.33 16.27 8201808
0.34 16.21 8206796
0.35 16.14 8211948
0.35 16.07 8217000
0.36 15.99 8222184
0.37 15.90 8227140
0.37 15.79 8232380
0.38 15.68 8237644
0.38 15.55 8242628
0.39 15.41 8247860
0.39 15.26 8252920
0.39 15.10 8258080
0.40 14.91 8263080
0.40 14.76 8268244
0.40 14.60 8273192
0.40 14.47 8278436
0.40 14.37 8283696
0.40 14.29 8288688
0.40 14.24 8293896
0.40 14.20 8298852
0.40 14.17 8304012
0.40 14.14 8308960
0.41 14.07 8314220
0.41 13.99 8319208
0.41 13.87 8324472
0.41 13.71 8329708
0.41 13.52 8334628
0.41 13.29 8339900
0.41 13.04 8344976
0.41 12.80 8350132
0.41 12.57 8355128
0.41 12.34 8360292
0.41 12.15 8365236
0.41 11.95 8370500
0.41 11.79 8375740
0.41 11.66 8380732
0.41 11.56 8385932
0.41 11.49 8390992
0.41 11.42 8396164
0.41 11.37 8401160
0.42 11.31 8406316
0.42 11.21 8411264
0.42 11.08 8416504
0.42 10.89 8421772
0.43 10.63 8426764
0.43 10.39 8431968
0.43 10.12 8437020
0.44 9.87 8442156
0.44 9.65 8447148
0.45 9.44 8452264
0.45 9.25 8457264
0.46 9.06 8462408
0.46 8.88 8467632
0.47 8.69 8472524
0.48 8.52 8477768
0.48 8.33 8482572
0.49 8.17 8487772
0.50 8.03 8492660
0.51 7.93 8497872
0.52 7.84 8502860
0.53 7.74 8508000
0.54 7.62 8513036
0.54 7.48 8518184
0.55 7.31 8523172
0.56 7.10 8528316
0.56 6.90 8533288
0.57 6.67 8538428
0.57 6.47 8543640
0.58 12.54 8548572
0.59 6.06 8553776
0.59 5.83 8558576
0.60 5.57 8563784
0.60 5.27 8568572
0.61 5.00 8573760
0.61 4.71 8578564
0.62 4.48 8583776
0.62 4.30 8588676
0.62 4.18 8593872
0.62 4.12 8598784
